Map,Agents,Seed,Success,Cost,Time_s
random-32-32-20.map,50,9,False,-1,30.034597158432007
random-32-32-20.map,50,10,True,1176,0.07164788246154785
random-32-32-20.map,60,1,True,1467,0.07736802101135254
random-32-32-20.map,60,2,True,1498,0.07681703567504883
random-32-32-20.map,60,3,True,1496,0.07457995414733887
random-32-32-20.map,60,4,True,1506,0.07024598121643066
random-32-32-20.map,60,5,True,1501,0.07248592376708984
random-32-32-20.map,60,6,True,1505,0.07042098045349121
random-32-32-20.map,60,7,True,1510,0.07501506805419922
random-32-32-20.map,60,8,True,1542,0.06924223899841309
random-32-32-20.map,60,9,False,-1,30.033300161361694
random-32-32-20.map,60,10,True,1550,0.07396817207336426
random-64-64-10.map,20,1,True,988,0.38916993141174316
random-64-64-10.map,20,2,True,988,0.38051390647888184
random-64-64-10.map,20,3,True,988,0.37609291076660156
random-64-64-10.map,20,4,True,988,0.3702259063720703
random-64-64-10.map,20,5,True,990,0.3608260154724121
random-64-64-10.map,20,6,True,988,0.3688240051269531
random-64-64-10.map,20,7,True,988,0.3721499443054199
random-64-64-10.map,20,8,True,988,0.3768000602722168
random-64-64-10.map,20,9,True,988,0.40047788619995117
random-64-64-10.map,20,10,True,988,0.3772096633911133
random-64-64-10.map,30,1,True,1346,0.38960719108581543
random-64-64-10.map,30,2,True,1344,0.372053861618042
random-64-64-10.map,30,3,True,1344,0.37151002883911133
random-64-64-10.map,30,4,True,1349,0.3690369129180908
random-64-64-10.map,30,5,True,1344,0.3661351203918457
random-64-64-10.map,30,6,True,1344,0.3757660388946533
random-64-64-10.map,30,7,True,1344,0.3732280731201172
random-64-64-10.map,30,8,True,1344,0.3736131191253662
random-64-64-10.map,30,9,True,1344,0.4060206413269043
random-64-64-10.map,30,10,True,1344,0.38909316062927246
random-64-64-10.map,40,1,True,1847,0.3879368305206299
random-64-64-10.map,40,2,True,1851,0.38515400886535645
random-64-64-10.map,40,3,True,1854,0.38477015495300293
