Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
room-32-32-4.map,80,30,2,False,-1,30.031206846237183
room-32-32-4.map,80,30,3,False,-1,30.03047823905945
room-32-32-4.map,80,30,4,True,2821,2.097306251525879
room-32-32-4.map,80,30,5,False,-1,30.030319213867188
room-32-32-4.map,80,30,6,False,-1,30.030426740646362
room-32-32-4.map,80,30,7,False,-1,30.030776739120483
room-32-32-4.map,80,30,8,False,-1,30.030665159225464
room-32-32-4.map,80,30,9,False,-1,30.035631895065308
room-32-32-4.map,80,30,10,False,-1,30.030375242233276
room-32-32-4.map,80,60,1,False,-1,60.03250312805176
room-32-32-4.map,80,60,2,False,-1,60.0324170589447
room-32-32-4.map,80,60,3,False,-1,60.0329008102417
room-32-32-4.map,80,60,4,True,2821,2.0838210582733154
room-32-32-4.map,80,60,5,False,-1,60.03176212310791
room-32-32-4.map,80,60,6,False,-1,60.03371000289917
room-32-32-4.map,80,60,7,False,-1,60.03311204910278
room-32-32-4.map,80,60,8,False,-1,60.031930923461914
room-32-32-4.map,80,60,9,False,-1,60.03129720687866
room-32-32-4.map,80,60,10,False,-1,60.03317904472351
room-32-32-4.map,80,90,1,False,-1,90.03112888336182
room-32-32-4.map,80,90,2,False,-1,90.03079390525818
room-32-32-4.map,80,90,3,False,-1,90.0312991142273
room-32-32-4.map,80,90,4,True,2821,2.1012909412384033
room-32-32-4.map,80,90,5,False,-1,90.03099703788757
room-32-32-4.map,80,90,6,False,-1,90.031898021698
room-32-32-4.map,80,90,7,False,-1,90.03215885162354
room-32-32-4.map,80,90,8,False,-1,90.03285789489746
room-32-32-4.map,80,90,9,False,-1,90.03335380554199
room-32-32-4.map,80,90,10,False,-1,90.03193020820618
room-32-32-4.map,80,120,1,False,-1,120.03285884857178
room-32-32-4.map,80,120,2,False,-1,120.03308391571045
room-32-32-4.map,80,120,3,False,-1,120.03211307525635
room-32-32-4.map,80,120,4,True,2821,2.082369089126587
room-32-32-4.map,80,120,5,False,-1,120.03238201141357
room-32-32-4.map,80,120,6,False,-1,120.03543519973755
room-32-32-4.map,80,120,7,False,-1,120.03375482559204
room-32-32-4.map,80,120,8,False,-1,120.0309100151062
room-32-32-4.map,80,120,9,False,-1,120.03338694572449
room-32-32-4.map,80,120,10,False,-1,120.0348961353302
room-32-32-4.map,80,150,1,False,-1,150.03361177444458
